[2026-05-14 07:42:12] START train_p3_block_projected: python scripts/train_env_v2_gpsi_ppo_n3p.py --config configs/env_v2_gpsi_heada_ppo_n3p_block_projected.yaml --out-dir checkpoints/env_v2_gpsi_heada_ppo_n3p_block_projected_s0 --train-steps 500000 --seed 0 --n-envs 4 --device cpu --heartbeat-seconds 300
[2026-05-14 07:42:18] N3P_TRAIN_CONFIG config=block_projected steps=500000 seed=0 n_envs=4 device=cpu out_dir=checkpoints/env_v2_gpsi_heada_ppo_n3p_block_projected_s0 no_shield=true action_filtering=false safety_cost=false
Using cpu device
Logging to /root/workspace/uav-risk-rl/checkpoints/env_v2_gpsi_heada_ppo_n3p_block_projected_s0/tensorboard/PPO_1
[2026-05-14 07:42:20] N3FZ_TRAIN_START config=block_projected total_steps=500000 start_num_timesteps=0
---------------------------------
| rollout/           |          |
|    fps                  | 246         |
|    iterations           | 8           |
|    time_elapsed         | 132         |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.007851875 |
|    clip_fraction        | 0.0533      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.09       |
|    explained_variance   | 0.369       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.86        |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0034     |
|    std                  | 0.948       |
|    value_loss           | 5.6         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 162         |
|    ep_rew_mean          | 14.9        |
|    success_rate         | 0.22        |
| time/                   |             |
|    fps                  | 246         |
|    iterations           | 9           |
|    time_elapsed         | 149         |
|    total_timesteps      | 36864       |
| train/                  |             |
|    approx_kl            | 0.008481435 |
|    clip_fraction        | 0.0831      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.09       |
|    explained_variance   | 0.657       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.57        |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.00845    |
|    std                  | 0.945       |
|    value_loss           | 3.52        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 153         |
|    ep_rew_mean          | 16.4        |
|    success_rate         | 0.26        |
| time/                   |             |
|    fps                  | 246         |
|    iterations           | 10          |
|    time_elapsed         | 165         |
|    total_timesteps      | 40960       |
| train/                  |             |
|    approx_kl            | 0.008904614 |
|    clip_fraction        | 0.0678      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.08       |
|    explained_variance   | 0.556       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.85        |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.00728    |
|    std                  | 0.942       |
|    value_loss           | 6.52        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 135         |
|    ep_rew_mean          | 15.2        |
|    success_rate         | 0.24        |
| time/                   |             |
|    fps                  | 246         |
|    iterations           | 11          |
|    time_elapsed         | 182         |
|    total_timesteps      | 45056       |
| train/                  |             |
|    approx_kl            | 0.008805314 |
|    clip_fraction        | 0.103       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.07       |
|    explained_variance   | 0.396       |
|    learning_rate        | 0.0003      |
|    loss                 | 3.95        |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.00877    |
|    std                  | 0.939       |
|    value_loss           | 7.81        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 124         |
|    ep_rew_mean          | 14.9        |
|    success_rate         | 0.24        |
| time/                   |             |
|    fps                  | 247         |
|    iterations           | 12          |
|    time_elapsed         | 198         |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.007907886 |
|    clip_fraction        | 0.0732      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.07       |
|    explained_variance   | 0.461       |
|    learning_rate        | 0.0003      |
|    loss                 | 4.75        |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.0074     |
|    std                  | 0.943       |
|    value_loss           | 9.74        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 119         |
|    ep_rew_mean          | 13.9        |
|    success_rate         | 0.21        |
| time/                   |             |
|    fps                  | 246         |
|    iterations           | 13          |
|    time_elapsed         | 215         |
|    total_timesteps      | 53248       |
| train/                  |             |
|    approx_kl            | 0.008588797 |
|    clip_fraction        | 0.0905      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.07       |
|    explained_variance   | 0.478       |
|    learning_rate        | 0.0003      |
|    loss                 | 3.04        |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.00702    |
|    std                  | 0.94        |
|    value_loss           | 9.41        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 123         |
|    ep_rew_mean          | 15.6        |
|    success_rate         | 0.27        |
| time/                   |             |
|    fps                  | 246         |
|    iterations           | 14          |
|    time_elapsed         | 232         |
|    total_timesteps      | 57344       |
| train/                  |             |
|    approx_kl            | 0.008671755 |
|    clip_fraction        | 0.0958      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.06       |
|    explained_variance   | 0.4         |
|    learning_rate        | 0.0003      |
|    loss                 | 4.06        |
|    n_updates            | 130         |
|    policy_gradient_loss | -0.00657    |
|    std                  | 0.935       |
|    value_loss           | 8.85        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 132         |
|    ep_rew_mean          | 17.8        |
|    success_rate         | 0.32        |
| time/                   |             |
|    fps                  | 246         |
|    iterations           | 15          |
|    time_elapsed         | 249         |
|    total_timesteps      | 61440       |
| train/                  |             |
|    approx_kl            | 0.012993891 |
|    clip_fraction        | 0.118       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.05       |
|    explained_variance   | 0.489       |
|    learning_rate        | 0.0003      |
|    loss                 | 4.76        |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.00594    |
|    std                  | 0.934       |
|    value_loss           | 8.41        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 136         |
|    ep_rew_mean          | 19.5        |
|    success_rate         | 0.35        |
| time/                   |             |
|    fps                  | 246         |
|    iterations           | 16          |
|    time_elapsed         | 266         |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.012939677 |
|    clip_fraction        | 0.117       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.04       |
|    explained_variance   | 0.55        |
|    learning_rate        | 0.0003      |
|    loss                 | 2.62        |
|    n_updates            | 150         |
|    policy_gradient_loss | -0.00619    |
|    std                  | 0.935       |
|    value_loss           | 5.25        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 134          |
|    ep_rew_mean          | 20           |
|    success_rate         | 0.36         |
| time/                   |              |
|    fps                  | 246          |
|    iterations           | 17           |
|    time_elapsed         | 282          |
|    total_timesteps      | 69632        |
| train/                  |              |
|    approx_kl            | 0.0110881105 |
|    clip_fraction        | 0.108        |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.04        |
|    explained_variance   | 0.561        |
|    learning_rate        | 0.0003       |
|    loss                 | 2.49         |
|    n_updates            | 160          |
|    policy_gradient_loss | -0.0084      |
|    std                  | 0.931        |
|    value_loss           | 7.56         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 134         |
|    ep_rew_mean          | 20.3        |
|    success_rate         | 0.35        |
| time/                   |             |
|    fps                  | 246         |
|    iterations           | 18          |
|    time_elapsed         | 299         |
|    total_timesteps      | 73728       |
| train/                  |             |
|    approx_kl            | 0.009651189 |
|    clip_fraction        | 0.0881      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.04       |
|    explained_variance   | 0.454       |
|    learning_rate        | 0.0003      |
|    loss                 | 4.02        |
|    n_updates            | 170         |
|    policy_gradient_loss | -0.00316    |
|    std                  | 0.932       |
|    value_loss           | 9.05        |
-----------------------------------------
[2026-05-14 07:47:21] N3FZ_TRAIN_HEARTBEAT config=block_projected steps=73732/500000 percent= 14.75% rate=   244.9 step/s eta=  29.01 min recent_reward=19.834
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 129         |
|    ep_rew_mean          | 19.4        |
|    success_rate         | 0.32        |
| time/                   |             |
|    fps                  | 246         |
|    iterations           | 19          |
|    time_elapsed         | 315         |
|    total_timesteps      | 77824       |
| train/                  |             |
|    approx_kl            | 0.010369785 |
|    clip_fraction        | 0.0893      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.04       |
|    explained_variance   | 0.557       |
|    learning_rate        | 0.0003      |
|    loss                 | 3.11        |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.00388    |
|    std                  | 0.933       |
|    value_loss           | 6.52        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 125         |
|    ep_rew_mean          | 18.4        |
|    success_rate         | 0.29        |
| time/                   |             |
|    fps                  | 246         |
|    iterations           | 20          |
|    time_elapsed         | 332         |
|    total_timesteps      | 81920       |
| train/                  |             |
|    approx_kl            | 0.009515239 |
|    clip_fraction        | 0.097       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.04       |
|    explained_variance   | 0.507       |
|    learning_rate        | 0.0003      |
|    loss                 | 3.44        |
|    n_updates            | 190         |
|    policy_gradient_loss | -0.00676    |
|    std                  | 0.934       |
|    value_loss           | 9.04        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 120         |
|    ep_rew_mean          | 17.5        |
|    success_rate         | 0.25        |
| time/                   |             |
|    fps                  | 246         |
|    iterations           | 21          |
|    time_elapsed         | 348         |
|    total_timesteps      | 86016       |
| train/                  |             |
|    approx_kl            | 0.010954093 |
|    clip_fraction        | 0.107       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.04       |
|    explained_variance   | 0.51        |
|    learning_rate        | 0.0003      |
|    loss                 | 5.74        |
|    n_updates            | 200         |
|    policy_gradient_loss | -0.00399    |
|    std                  | 0.934       |
|    value_loss           | 9.66        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 117         |
|    ep_rew_mean          | 17.2        |
|    success_rate         | 0.23        |
| time/                   |             |
|    fps                  | 246         |
|    iterations           | 22          |
|    time_elapsed         | 365         |
|    total_timesteps      | 90112       |
| train/                  |             |
|    approx_kl            | 0.015734399 |
|    clip_fraction        | 0.143       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.04       |
|    explained_variance   | 0.638       |
|    learning_rate        | 0.0003      |
|    loss                 | 3.91        |
|    n_updates            | 210         |
|    policy_gradient_loss | -0.00644    |
|    std                  | 0.931       |
|    value_loss           | 7.3         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 120         |
|    ep_rew_mean          | 19.4        |
|    success_rate         | 0.3         |
| time/                   |             |
|    fps                  | 246         |
|    iterations           | 23          |
|    time_elapsed         | 381         |
|    total_timesteps      | 94208       |
| train/                  |             |
|    approx_kl            | 0.012028325 |
|    clip_fraction        | 0.106       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.03       |
|    explained_variance   | 0.508       |
|    learning_rate        | 0.0003      |
|    loss                 | 5.57        |
|    n_updates            | 220         |
|    policy_gradient_loss | -0.00752    |
|    std                  | 0.929       |
|    value_loss           | 10.7        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 122         |
|    ep_rew_mean          | 21.6        |
|    success_rate         | 0.39        |
| time/                   |             |
|    fps                  | 246         |
|    iterations           | 24          |
|    time_elapsed         | 398         |
|    total_timesteps      | 98304       |
| train/                  |             |
|    approx_kl            | 0.011817419 |
|    clip_fraction        | 0.107       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.02       |
|    explained_variance   | 0.535       |
|    learning_rate        | 0.0003      |
|    loss                 | 3.14        |
|    n_updates            | 230         |
|    policy_gradient_loss | -0.00694    |
|    std                  | 0.924       |
|    value_loss           | 7.29        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 123         |
|    ep_rew_mean          | 22          |
|    success_rate         | 0.38        |
| time/                   |             |
|    fps                  | 246         |
|    iterations           | 25          |
|    time_elapsed         | 414         |
|    total_timesteps      | 102400      |
| train/                  |             |
|    approx_kl            | 0.011987081 |
|    clip_fraction        | 0.141       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.01       |
|    explained_variance   | 0.426       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.79        |
|    n_updates            | 240         |
|    policy_gradient_loss | -0.00478    |
|    std                  | 0.923       |
|    value_loss           | 7.53        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 121         |
|    ep_rew_mean          | 21          |
|    success_rate         | 0.33        |
| time/                   |             |
|    fps                  | 246         |
|    iterations           | 26          |
|    time_elapsed         | 431         |
|    total_timesteps      | 106496      |
| train/                  |             |
|    approx_kl            | 0.011360092 |
|    clip_fraction        | 0.117       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4          |
|    explained_variance   | 0.517       |
|    learning_rate        | 0.0003      |
|    loss                 | 5.25        |
|    n_updates            | 250         |
|    policy_gradient_loss | -0.003      |
|    std                  | 0.92        |
|    value_loss           | 8.92        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 120         |
|    ep_rew_mean          | 21.3        |
|    success_rate         | 0.33        |
| time/                   |             |
|    fps                  | 246         |
|    iterations           | 27          |
|    time_elapsed         | 447         |
|    total_timesteps      | 110592      |
| train/                  |             |
|    approx_kl            | 0.009057116 |
|    clip_fraction        | 0.0871      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4          |
|    explained_variance   | 0.63        |
|    learning_rate        | 0.0003      |
|    loss                 | 3.8         |
|    n_updates            | 260         |
|    policy_gradient_loss | -0.00564    |
|    std                  | 0.919       |
|    value_loss           | 7.49        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 121         |
|    ep_rew_mean          | 21.1        |
|    success_rate         | 0.32        |
| time/                   |             |
|    fps                  | 246         |
|    iterations           | 28          |
|    time_elapsed         | 464         |
|    total_timesteps      | 114688      |
| train/                  |             |
|    approx_kl            | 0.013039216 |
|    clip_fraction        | 0.113       |
|    clip_range           | 0.2         |
|    entropy_loss         | -3.99       |
|    explained_variance   | 0.562       |
|    learning_rate        | 0.0003      |
|    loss                 | 3.4         |
|    n_updates            | 270         |
|    policy_gradient_loss | -0.00574    |
|    std                  | 0.916       |
|    value_loss           | 8.61        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 119         |
|    ep_rew_mean          | 22.3        |
|    success_rate         | 0.37        |
| time/                   |             |
|    fps                  | 246         |
|    iterations           | 29          |
|    time_elapsed         | 481         |
|    total_timesteps      | 118784      |
| train/                  |             |
|    approx_kl            | 0.015183972 |
|    clip_fraction        | 0.139       |
|    clip_range           | 0.2         |
|    entropy_loss         | -3.99       |
|    explained_variance   | 0.662       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.94        |
|    n_updates            | 280         |
|    policy_gradient_loss | -0.00552    |
|    std                  | 0.918       |
|    value_loss           | 6.97        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 119         |
|    ep_rew_mean          | 21.8        |
|    success_rate         | 0.31        |
| time/                   |             |
|    fps                  | 246         |
|    iterations           | 30          |
|    time_elapsed         | 497         |
|    total_timesteps      | 122880      |
| train/                  |             |
|    approx_kl            | 0.011843248 |
|    clip_fraction        | 0.134       |
|    clip_range           | 0.2         |
|    entropy_loss         | -3.99       |
|    explained_variance   | 0.518       |
|    learning_rate        | 0.0003      |
|    loss                 | 3.15        |
|    n_updates            | 290         |
|    policy_gradient_loss | -0.00668    |
|    std                  | 0.917       |
|    value_loss           | 7.57        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 116         |
|    ep_rew_mean          | 21.4        |
|    success_rate         | 0.3         |
| time/                   |             |
|    fps                  | 246         |
|    iterations           | 31          |
|    time_elapsed         | 514         |
|    total_timesteps      | 126976      |
| train/                  |             |
|    approx_kl            | 0.011035755 |
|    clip_fraction        | 0.0842      |
|    clip_range           | 0.2         |
|    entropy_loss         | -3.99       |
|    explained_variance   | 0.627       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.77        |
|    n_updates            | 300         |
|    policy_gradient_loss | -0.00585    |
|    std                  | 0.917       |
|    value_loss           | 7.18        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 117         |
|    ep_rew_mean          | 21.5        |
|    success_rate         | 0.29        |
| time/                   |             |
|    fps                  | 246         |
|    iterations           | 32          |
|    time_elapsed         | 531         |
|    total_timesteps      | 131072      |
| train/                  |             |
|    approx_kl            | 0.013191864 |
|    clip_fraction        | 0.13        |
|    clip_range           | 0.2         |
|    entropy_loss         | -3.99       |
|    explained_variance   | 0.619       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.45        |
|    n_updates            | 310         |
|    policy_gradient_loss | -0.00349    |
|    std                  | 0.918       |
|    value_loss           | 7.54        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 117          |
|    ep_rew_mean          | 22.2         |
|    success_rate         | 0.33         |
| time/                   |              |
|    fps                  | 246          |
|    iterations           | 33           |
|    time_elapsed         | 547          |
|    total_timesteps      | 135168       |
| train/                  |              |
|    approx_kl            | 0.0105193155 |
|    clip_fraction        | 0.102        |
|    clip_range           | 0.2          |
|    entropy_loss         | -3.99        |
|    explained_variance   | 0.644        |
|    learning_rate        | 0.0003       |
|    loss                 | 3.03         |
|    n_updates            | 320          |
|    policy_gradient_loss | -0.00691     |
|    std                  | 0.918        |
|    value_loss           | 6.54         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 121         |
|    ep_rew_mean          | 23.5        |
|    success_rate         | 0.35        |
| time/                   |             |
|    fps                  | 246         |
|    iterations           | 34          |
|    time_elapsed         | 564         |
|    total_timesteps      | 139264      |
| train/                  |             |
|    approx_kl            | 0.013566268 |
|    clip_fraction        | 0.11        |
|    clip_range           | 0.2         |
|    entropy_loss         | -3.99       |
|    explained_variance   | 0.628       |
|    learning_rate        | 0.0003      |
|    loss                 | 3.2         |
|    n_updates            | 330         |
|    policy_gradient_loss | -0.00452    |
|    std                  | 0.917       |
|    value_loss           | 7.57        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 120         |
|    ep_rew_mean          | 22.1        |
|    success_rate         | 0.29        |
| time/                   |             |
|    fps                  | 246         |
|    iterations           | 35          |
|    time_elapsed         | 580         |
|    total_timesteps      | 143360      |
| train/                  |             |
|    approx_kl            | 0.009907352 |
|    clip_fraction        | 0.103       |
|    clip_range           | 0.2         |
|    entropy_loss         | -3.99       |
|    explained_variance   | 0.696       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.73        |
|    n_updates            | 340         |
|    policy_gradient_loss | -0.00458    |
|    std                  | 0.92        |
|    value_loss           | 7.36        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 121         |
|    ep_rew_mean          | 22.1        |
|    success_rate         | 0.29        |
| time/                   |             |
|    fps                  | 246         |
|    iterations           | 36          |
|    time_elapsed         | 597         |
|    total_timesteps      | 147456      |
| train/                  |             |
|    approx_kl            | 0.016885305 |
|    clip_fraction        | 0.136       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4          |
|    explained_variance   | 0.756       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.97        |
|    n_updates            | 350         |
|    policy_gradient_loss | -0.005      |
|    std                  | 0.922       |
|    value_loss           | 5.88        |
-----------------------------------------
[2026-05-14 07:52:21] N3FZ_TRAIN_HEARTBEAT config=block_projected steps=148052/500000 percent= 29.61% rate=   246.3 step/s eta=  23.81 min recent_reward=22.603
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 124        |
|    ep_rew_mean          | 24.4       |
|    success_rate         | 0.39       |
| time/                   |            |
|    fps                  | 246        |
|    iterations           | 37         |
|    time_elapsed         | 613        |
|    total_timesteps      | 151552     |
| train/                  |            |
|    approx_kl            | 0.01188566 |
|    clip_fraction        | 0.121      |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.01      |
|    explained_variance   | 0.667      |
|    learning_rate        | 0.0003     |
|    loss                 | 3.12       |
|    n_updates            | 360        |
|    policy_gradient_loss | -0.0023    |
|    std                  | 0.927      |
|    value_loss           | 7.57       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 124         |
|    ep_rew_mean          | 25.8        |
|    success_rate         | 0.46        |
| time/                   |             |
|    fps                  | 246         |
|    iterations           | 38          |
|    time_elapsed         | 630         |
|    total_timesteps      | 155648      |
| train/                  |             |
|    approx_kl            | 0.013559098 |
|    clip_fraction        | 0.106       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.02       |
|    explained_variance   | 0.512       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.1         |
|    n_updates            | 370         |
|    policy_gradient_loss | -0.00712    |
|    std                  | 0.926       |
|    value_loss           | 6.57        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 126         |
|    ep_rew_mean          | 27.5        |
|    success_rate         | 0.53        |
| time/                   |             |
|    fps                  | 246         |
|    iterations           | 39          |
|    time_elapsed         | 646         |
|    total_timesteps      | 159744      |
| train/                  |             |
|    approx_kl            | 0.008787936 |
|    clip_fraction        | 0.0837      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.01       |
|    explained_variance   | 0.657       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.03        |
|    n_updates            | 380         |
|    policy_gradient_loss | -0.00675    |
|    std                  | 0.925       |
|    value_loss           | 5.68        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 122          |
|    ep_rew_mean          | 25.8         |
|    success_rate         | 0.47         |
| time/                   |              |
|    fps                  | 247          |
|    iterations           | 40           |
|    time_elapsed         | 663          |
|    total_timesteps      | 163840       |
| train/                  |              |
|    approx_kl            | 0.0122690955 |
|    clip_fraction        | 0.114        |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.01        |
|    explained_variance   | 0.503        |
|    learning_rate        | 0.0003       |
|    loss                 | 2.31         |
|    n_updates            | 390          |
|    policy_gradient_loss | -0.00443     |
|    std                  | 0.923        |
|    value_loss           | 7.21         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 119         |
|    ep_rew_mean          | 25.5        |
|    success_rate         | 0.47        |
| time/                   |             |
|    fps                  | 247         |
|    iterations           | 41          |
|    time_elapsed         | 679         |
|    total_timesteps      | 167936      |
| train/                  |             |
