sample_order,source_index,episode_id,step,obstacle_id,obstacle_slot,motion_mode_id,threat_class_id,history_valid_length,replacement_boundary_nearby
129,40096,91,189,42,7,4,1,20,0
130,10030,9,102,14,1,3,1,20,0
131,12126,10,12,6,6,1,2,13,0
132,46628,96,5,9,5,0,1,5,1
133,15885,10,482,155,5,4,2,15,1
134,34366,68,350,87,3,2,1,20,0
135,20075,29,7,0,0,0,1,8,0
136,9521,9,0,2,2,4,1,1,1
137,7785,8,154,12,1,3,0,20,1
138,11649,9,426,63,0,2,1,10,1
139,43892,95,163,15,3,1,2,20,1
140,21187,29,229,40,2,4,2,20,0
141,4618,4,201,37,4,0,0,20,0
142,8117,8,220,33,3,4,2,20,0
143,11333,9,362,45,4,4,1,20,0
144,31642,68,9,7,7,4,1,10,0
145,31578,68,1,7,7,4,1,2,0
146,12150,10,15,6,6,1,2,16,0
147,16114,24,10,2,2,1,0,11,0
148,22210,29,434,56,0,3,1,20,1
149,11498,9,395,45,4,4,1,20,1
150,28588,56,5,7,1,4,2,5,1
151,23140,37,119,18,0,3,2,20,0
152,7637,8,124,11,3,4,2,20,1
153,27137,44,298,44,1,2,2,20,0
154,3438,4,54,9,0,3,0,20,0
155,22998,37,90,12,3,2,2,20,0
156,38630,91,6,5,5,2,2,7,0
157,17733,24,212,62,5,1,1,3,1
158,17735,24,212,55,7,0,1,20,0
159,32612,68,131,35,1,1,1,20,0
160,29966,56,234,40,5,2,1,13,1
161,29627,56,178,31,2,2,1,19,1
162,37557,89,331,66,0,3,0,20,0
163,7097,8,16,8,3,2,1,15,1
164,410,0,68,15,2,0,1,12,1
165,29584,56,171,29,1,4,0,20,0
166,12974,10,118,32,6,4,2,20,1
167,6812,4,475,106,6,2,2,20,0
168,29265,56,118,6,0,4,0,20,1
169,33813,68,281,47,2,0,0,20,1
170,10480,9,192,24,1,1,1,20,0
171,18948,24,364,95,4,3,0,5,1
172,25009,37,492,74,4,0,2,8,1
173,46195,95,451,98,2,4,1,13,1
174,12881,10,107,38,1,2,1,8,1
175,13585,10,195,71,1,2,2,15,1
176,12410,10,48,16,2,3,0,20,0
177,24742,37,439,61,2,0,1,20,0
178,7396,8,76,13,2,2,2,17,1
179,29231,56,112,21,2,2,2,20,0
180,19653,24,452,98,5,0,2,20,1
181,46048,95,432,68,7,0,1,20,1
182,34602,68,379,96,7,4,1,17,1
183,6679,4,459,103,1,1,0,20,0
184,26929,44,268,37,3,4,1,20,1
185,36455,89,147,26,2,4,2,20,0
186,48928,96,389,66,1,3,1,20,0
187,22379,29,467,63,4,2,2,20,0
188,852,0,142,25,0,3,2,20,1
189,1716,0,286,55,0,3,0,20,0
190,10094,9,115,16,0,0,1,8,1
191,7031,8,3,2,2,2,2,4,0
192,20934,29,178,23,4,1,0,20,1
193,26515,44,209,36,2,0,0,4,1
194,34466,68,362,81,7,2,2,20,1
195,42210,91,454,107,1,1,1,20,1
196,22905,37,72,9,0,1,1,20,1
197,41745,91,396,85,0,1,2,20,0
198,40953,91,297,72,0,2,2,20,0
199,38604,91,3,3,3,3,0,4,0
