[2026-05-14 02:56:54] START train_corrected_z2_full: python scripts/train_env_v2_gpsi_ppo_n3z2cf.py --config configs/env_v2_gpsi_heada_ppo_n3z2cf_layernorm_alpha0p5.yaml --resume checkpoints/env_v2_gpsi_heada_ppo_n3z_layernorm_alpha0p5_s0/checkpoint_500k.zip --out-dir checkpoints/env_v2_gpsi_heada_ppo_n3z2cf_layernorm_alpha0p5_s0 --parent-total-steps 500000 --additional-steps 1000000 --target-total-steps 1500000 --checkpoint-total-steps 750000 1000000 1250000 1500000 --seed 0 --n-envs 4 --device cpu --reset-num-timesteps false --heartbeat-seconds 300
[2026-05-14 02:57:00] N3Z2CF_TRAIN_CONFIG parent_total_steps=500000 additional_steps=1000000 target_total_steps=1500000 seed=0 n_envs=4 device=cpu resume=checkpoints/env_v2_gpsi_heada_ppo_n3z_layernorm_alpha0p5_s0/checkpoint_500k.zip out_dir=checkpoints/env_v2_gpsi_heada_ppo_n3z2cf_layernorm_alpha0p5_s0 reset_num_timesteps=false
Logging to /root/workspace/uav-risk-rl/checkpoints/env_v2_gpsi_heada_ppo_n3z2cf_layernorm_alpha0p5_s0/tensorboard/PPO_0
[2026-05-14 02:57:02] N3Z2C_TRAIN_START config=z2_corrected_full additional_steps=1000000 parent_total_steps=500000 target_total_steps=1500000 start_num_timesteps=500000
---------------------------------
| rollout/           |          |
|    loss                 | 2.87        |
|    n_updates            | 1250        |
|    policy_gradient_loss | -0.00582    |
|    std                  | 0.991       |
|    value_loss           | 6.23        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 118         |
|    ep_rew_mean          | 28          |
|    success_rate         | 0.54        |
| time/                   |             |
|    fps                  | 253         |
|    iterations           | 5           |
|    time_elapsed         | 80          |
|    total_timesteps      | 520480      |
| train/                  |             |
|    approx_kl            | 0.016066711 |
|    clip_fraction        | 0.136       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.2        |
|    explained_variance   | 0.487       |
|    learning_rate        | 0.0003      |
|    loss                 | 4.18        |
|    n_updates            | 1260        |
|    policy_gradient_loss | -0.00505    |
|    std                  | 0.993       |
|    value_loss           | 8.45        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 115         |
|    ep_rew_mean          | 26.1        |
|    success_rate         | 0.44        |
| time/                   |             |
|    fps                  | 251         |
|    iterations           | 6           |
|    time_elapsed         | 97          |
|    total_timesteps      | 524576      |
| train/                  |             |
|    approx_kl            | 0.018018864 |
|    clip_fraction        | 0.174       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.2        |
|    explained_variance   | 0.526       |
|    learning_rate        | 0.0003      |
|    loss                 | 3.03        |
|    n_updates            | 1270        |
|    policy_gradient_loss | -0.00396    |
|    std                  | 0.991       |
|    value_loss           | 8.7         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 118         |
|    ep_rew_mean          | 27.4        |
|    success_rate         | 0.48        |
| time/                   |             |
|    fps                  | 250         |
|    iterations           | 7           |
|    time_elapsed         | 114         |
|    total_timesteps      | 528672      |
| train/                  |             |
|    approx_kl            | 0.017037876 |
|    clip_fraction        | 0.15        |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.21       |
|    explained_variance   | 0.601       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.21        |
|    n_updates            | 1280        |
|    policy_gradient_loss | -0.0036     |
|    std                  | 0.998       |
|    value_loss           | 5.95        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 118         |
|    ep_rew_mean          | 27.5        |
|    success_rate         | 0.48        |
| time/                   |             |
|    fps                  | 250         |
|    iterations           | 8           |
|    time_elapsed         | 130         |
|    total_timesteps      | 532768      |
| train/                  |             |
|    approx_kl            | 0.012220962 |
|    clip_fraction        | 0.151       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.23       |
|    explained_variance   | 0.59        |
|    learning_rate        | 0.0003      |
|    loss                 | 3.33        |
|    n_updates            | 1290        |
|    policy_gradient_loss | -0.00563    |
|    std                  | 1           |
|    value_loss           | 6.19        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 120         |
|    ep_rew_mean          | 28.2        |
|    success_rate         | 0.53        |
| time/                   |             |
|    fps                  | 249         |
|    iterations           | 9           |
|    time_elapsed         | 147         |
|    total_timesteps      | 536864      |
| train/                  |             |
|    approx_kl            | 0.015748601 |
|    clip_fraction        | 0.163       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.25       |
|    explained_variance   | 0.576       |
|    learning_rate        | 0.0003      |
|    loss                 | 3.15        |
|    n_updates            | 1300        |
|    policy_gradient_loss | -0.00913    |
|    std                  | 1.01        |
|    value_loss           | 8.21        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 120        |
|    ep_rew_mean          | 28         |
|    success_rate         | 0.52       |
| time/                   |            |
|    fps                  | 249        |
|    iterations           | 10         |
|    time_elapsed         | 164        |
|    total_timesteps      | 540960     |
| train/                  |            |
|    approx_kl            | 0.01908949 |
|    clip_fraction        | 0.178      |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.26      |
|    explained_variance   | 0.501      |
|    learning_rate        | 0.0003     |
|    loss                 | 1.82       |
|    n_updates            | 1310       |
|    policy_gradient_loss | -0.00398   |
|    std                  | 1.01       |
|    value_loss           | 6.06       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 119         |
|    ep_rew_mean          | 28.1        |
|    success_rate         | 0.54        |
| time/                   |             |
|    fps                  | 249         |
|    iterations           | 11          |
|    time_elapsed         | 180         |
|    total_timesteps      | 545056      |
| train/                  |             |
|    approx_kl            | 0.019273212 |
|    clip_fraction        | 0.179       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.24       |
|    explained_variance   | 0.567       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.67        |
|    n_updates            | 1320        |
|    policy_gradient_loss | -0.0061     |
|    std                  | 1           |
|    value_loss           | 7.01        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 116         |
|    ep_rew_mean          | 27.2        |
|    success_rate         | 0.51        |
| time/                   |             |
|    fps                  | 249         |
|    iterations           | 12          |
|    time_elapsed         | 197         |
|    total_timesteps      | 549152      |
| train/                  |             |
|    approx_kl            | 0.016094135 |
|    clip_fraction        | 0.169       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.23       |
|    explained_variance   | 0.524       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.94        |
|    n_updates            | 1330        |
|    policy_gradient_loss | -0.00356    |
|    std                  | 1           |
|    value_loss           | 7.16        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 113         |
|    ep_rew_mean          | 27          |
|    success_rate         | 0.51        |
| time/                   |             |
|    fps                  | 248         |
|    iterations           | 13          |
|    time_elapsed         | 214         |
|    total_timesteps      | 553248      |
| train/                  |             |
|    approx_kl            | 0.012412498 |
|    clip_fraction        | 0.11        |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.24       |
|    explained_variance   | 0.533       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.72        |
|    n_updates            | 1340        |
|    policy_gradient_loss | -0.00502    |
|    std                  | 1.01        |
|    value_loss           | 9.93        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 115        |
|    ep_rew_mean          | 28.4       |
|    success_rate         | 0.54       |
| time/                   |            |
|    fps                  | 248        |
|    iterations           | 14         |
|    time_elapsed         | 230        |
|    total_timesteps      | 557344     |
| train/                  |            |
|    approx_kl            | 0.01601415 |
|    clip_fraction        | 0.177      |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.25      |
|    explained_variance   | 0.572      |
|    learning_rate        | 0.0003     |
|    loss                 | 3.06       |
|    n_updates            | 1350       |
|    policy_gradient_loss | 0.000962   |
|    std                  | 1.01       |
|    value_loss           | 7.51       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 117         |
|    ep_rew_mean          | 28.5        |
|    success_rate         | 0.51        |
| time/                   |             |
|    fps                  | 248         |
|    iterations           | 15          |
|    time_elapsed         | 247         |
|    total_timesteps      | 561440      |
| train/                  |             |
|    approx_kl            | 0.014878747 |
|    clip_fraction        | 0.157       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.24       |
|    explained_variance   | 0.539       |
|    learning_rate        | 0.0003      |
|    loss                 | 3.11        |
|    n_updates            | 1360        |
|    policy_gradient_loss | -0.00331    |
|    std                  | 1           |
|    value_loss           | 6.63        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 117         |
|    ep_rew_mean          | 28.8        |
|    success_rate         | 0.52        |
| time/                   |             |
|    fps                  | 248         |
|    iterations           | 16          |
|    time_elapsed         | 263         |
|    total_timesteps      | 565536      |
| train/                  |             |
|    approx_kl            | 0.014108947 |
|    clip_fraction        | 0.14        |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.24       |
|    explained_variance   | 0.605       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.58        |
|    n_updates            | 1370        |
|    policy_gradient_loss | -0.00418    |
|    std                  | 1.01        |
|    value_loss           | 8.62        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 117         |
|    ep_rew_mean          | 28.6        |
|    success_rate         | 0.51        |
| time/                   |             |
|    fps                  | 248         |
|    iterations           | 17          |
|    time_elapsed         | 280         |
|    total_timesteps      | 569632      |
| train/                  |             |
|    approx_kl            | 0.012083841 |
|    clip_fraction        | 0.153       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.24       |
|    explained_variance   | 0.629       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.19        |
|    n_updates            | 1380        |
|    policy_gradient_loss | -0.00875    |
|    std                  | 1           |
|    value_loss           | 7.16        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 120        |
|    ep_rew_mean          | 30.2       |
|    success_rate         | 0.57       |
| time/                   |            |
|    fps                  | 248        |
|    iterations           | 18         |
|    time_elapsed         | 297        |
|    total_timesteps      | 573728     |
| train/                  |            |
|    approx_kl            | 0.01929009 |
|    clip_fraction        | 0.179      |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.23      |
|    explained_variance   | 0.612      |
|    learning_rate        | 0.0003     |
|    loss                 | 1.59       |
|    n_updates            | 1390       |
|    policy_gradient_loss | -0.000655  |
|    std                  | 1.01       |
|    value_loss           | 5.94       |
----------------------------------------
[2026-05-14 03:02:02] N3Z2C_TRAIN_HEARTBEAT config=z2_corrected_full local_steps=73960/1000000 total_steps=573960/1500000 percent=  7.40% rate=   246.5 step/s eta=  62.61 min recent_reward=29.989
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 121         |
|    ep_rew_mean          | 30.1        |
|    success_rate         | 0.55        |
| time/                   |             |
|    fps                  | 248         |
|    iterations           | 19          |
|    time_elapsed         | 313         |
|    total_timesteps      | 577824      |
| train/                  |             |
|    approx_kl            | 0.013601611 |
|    clip_fraction        | 0.143       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.24       |
|    explained_variance   | 0.67        |
|    learning_rate        | 0.0003      |
|    loss                 | 1.29        |
|    n_updates            | 1400        |
|    policy_gradient_loss | -0.00711    |
|    std                  | 1           |
|    value_loss           | 5.15        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 117         |
|    ep_rew_mean          | 28.5        |
|    success_rate         | 0.51        |
| time/                   |             |
|    fps                  | 248         |
|    iterations           | 20          |
|    time_elapsed         | 330         |
|    total_timesteps      | 581920      |
| train/                  |             |
|    approx_kl            | 0.020712318 |
|    clip_fraction        | 0.21        |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.22       |
|    explained_variance   | 0.588       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.83        |
|    n_updates            | 1410        |
|    policy_gradient_loss | -0.00269    |
|    std                  | 1           |
|    value_loss           | 7.01        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 112         |
|    ep_rew_mean          | 26.9        |
|    success_rate         | 0.47        |
| time/                   |             |
|    fps                  | 248         |
|    iterations           | 21          |
|    time_elapsed         | 346         |
|    total_timesteps      | 586016      |
| train/                  |             |
|    approx_kl            | 0.017105274 |
|    clip_fraction        | 0.178       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.21       |
|    explained_variance   | 0.54        |
|    learning_rate        | 0.0003      |
|    loss                 | 4.39        |
|    n_updates            | 1420        |
|    policy_gradient_loss | -0.00216    |
|    std                  | 0.997       |
|    value_loss           | 9.49        |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 112       |
|    ep_rew_mean          | 27.8      |
|    success_rate         | 0.52      |
| time/                   |           |
|    fps                  | 247       |
|    iterations           | 22        |
|    time_elapsed         | 363       |
|    total_timesteps      | 590112    |
| train/                  |           |
|    approx_kl            | 0.0158536 |
|    clip_fraction        | 0.158     |
|    clip_range           | 0.2       |
|    entropy_loss         | -4.22     |
|    explained_variance   | 0.561     |
|    learning_rate        | 0.0003    |
|    loss                 | 3.83      |
|    n_updates            | 1430      |
|    policy_gradient_loss | -0.00587  |
|    std                  | 1         |
|    value_loss           | 9.86      |
---------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 115        |
|    ep_rew_mean          | 29         |
|    success_rate         | 0.56       |
| time/                   |            |
|    fps                  | 247        |
|    iterations           | 23         |
|    time_elapsed         | 380        |
|    total_timesteps      | 594208     |
| train/                  |            |
|    approx_kl            | 0.01955125 |
|    clip_fraction        | 0.178      |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.23      |
|    explained_variance   | 0.51       |
|    learning_rate        | 0.0003     |
|    loss                 | 2.31       |
|    n_updates            | 1440       |
|    policy_gradient_loss | -0.00641   |
|    std                  | 1          |
|    value_loss           | 7.15       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 120         |
|    ep_rew_mean          | 30.4        |
|    success_rate         | 0.59        |
| time/                   |             |
|    fps                  | 247         |
|    iterations           | 24          |
|    time_elapsed         | 397         |
|    total_timesteps      | 598304      |
| train/                  |             |
|    approx_kl            | 0.013105704 |
|    clip_fraction        | 0.171       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.23       |
|    explained_variance   | 0.516       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.16        |
|    n_updates            | 1450        |
|    policy_gradient_loss | -0.00174    |
|    std                  | 0.999       |
|    value_loss           | 5.49        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 121          |
|    ep_rew_mean          | 28.6         |
|    success_rate         | 0.5          |
| time/                   |              |
|    fps                  | 247          |
|    iterations           | 25           |
|    time_elapsed         | 414          |
|    total_timesteps      | 602400       |
| train/                  |              |
|    approx_kl            | 0.0146331135 |
|    clip_fraction        | 0.141        |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.23        |
|    explained_variance   | 0.581        |
|    learning_rate        | 0.0003       |
|    loss                 | 2.36         |
|    n_updates            | 1460         |
|    policy_gradient_loss | -0.00576     |
|    std                  | 1.01         |
|    value_loss           | 6.13         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 119         |
|    ep_rew_mean          | 26.4        |
|    success_rate         | 0.42        |
| time/                   |             |
|    fps                  | 246         |
|    iterations           | 26          |
|    time_elapsed         | 431         |
|    total_timesteps      | 606496      |
| train/                  |             |
|    approx_kl            | 0.010690096 |
|    clip_fraction        | 0.132       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.25       |
|    explained_variance   | 0.601       |
|    learning_rate        | 0.0003      |
|    loss                 | 3.32        |
|    n_updates            | 1470        |
|    policy_gradient_loss | -0.00664    |
|    std                  | 1.01        |
|    value_loss           | 7.27        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 119         |
|    ep_rew_mean          | 25.5        |
|    success_rate         | 0.4         |
| time/                   |             |
|    fps                  | 246         |
|    iterations           | 27          |
|    time_elapsed         | 447         |
|    total_timesteps      | 610592      |
| train/                  |             |
|    approx_kl            | 0.014751833 |
|    clip_fraction        | 0.14        |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.25       |
|    explained_variance   | 0.657       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.58        |
|    n_updates            | 1480        |
|    policy_gradient_loss | -0.00482    |
|    std                  | 1.01        |
|    value_loss           | 7.61        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 121        |
|    ep_rew_mean          | 26.7       |
|    success_rate         | 0.43       |
| time/                   |            |
|    fps                  | 246        |
|    iterations           | 28         |
|    time_elapsed         | 464        |
|    total_timesteps      | 614688     |
| train/                  |            |
|    approx_kl            | 0.01643613 |
|    clip_fraction        | 0.159      |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.24      |
|    explained_variance   | 0.677      |
|    learning_rate        | 0.0003     |
|    loss                 | 2.19       |
|    n_updates            | 1490       |
|    policy_gradient_loss | -0.00612   |
|    std                  | 1          |
|    value_loss           | 6.66       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 123        |
|    ep_rew_mean          | 28.9       |
|    success_rate         | 0.51       |
| time/                   |            |
|    fps                  | 246        |
|    iterations           | 29         |
|    time_elapsed         | 481        |
|    total_timesteps      | 618784     |
| train/                  |            |
|    approx_kl            | 0.01682372 |
|    clip_fraction        | 0.144      |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.24      |
|    explained_variance   | 0.616      |
|    learning_rate        | 0.0003     |
|    loss                 | 2.58       |
|    n_updates            | 1500       |
|    policy_gradient_loss | -0.00279   |
|    std                  | 1.01       |
|    value_loss           | 5.94       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 118         |
|    ep_rew_mean          | 28.1        |
|    success_rate         | 0.5         |
| time/                   |             |
|    fps                  | 246         |
|    iterations           | 30          |
|    time_elapsed         | 498         |
|    total_timesteps      | 622880      |
| train/                  |             |
|    approx_kl            | 0.013493543 |
|    clip_fraction        | 0.137       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.23       |
|    explained_variance   | 0.636       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.53        |
|    n_updates            | 1510        |
|    policy_gradient_loss | -0.00221    |
|    std                  | 1           |
|    value_loss           | 5.1         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 118         |
|    ep_rew_mean          | 28.9        |
|    success_rate         | 0.54        |
| time/                   |             |
|    fps                  | 246         |
|    iterations           | 31          |
|    time_elapsed         | 515         |
|    total_timesteps      | 626976      |
| train/                  |             |
|    approx_kl            | 0.013969616 |
|    clip_fraction        | 0.155       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.23       |
|    explained_variance   | 0.547       |
|    learning_rate        | 0.0003      |
|    loss                 | 3.21        |
|    n_updates            | 1520        |
|    policy_gradient_loss | -0.00269    |
|    std                  | 1           |
|    value_loss           | 8.01        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 118         |
|    ep_rew_mean          | 28.6        |
|    success_rate         | 0.52        |
| time/                   |             |
|    fps                  | 246         |
|    iterations           | 32          |
|    time_elapsed         | 532         |
|    total_timesteps      | 631072      |
| train/                  |             |
|    approx_kl            | 0.013310657 |
|    clip_fraction        | 0.153       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.22       |
|    explained_variance   | 0.403       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.41        |
|    n_updates            | 1530        |
|    policy_gradient_loss | -0.00683    |
|    std                  | 0.994       |
|    value_loss           | 6.39        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 117         |
|    ep_rew_mean          | 27.7        |
|    success_rate         | 0.46        |
| time/                   |             |
|    fps                  | 246         |
|    iterations           | 33          |
|    time_elapsed         | 549         |
|    total_timesteps      | 635168      |
| train/                  |             |
|    approx_kl            | 0.013644263 |
|    clip_fraction        | 0.154       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.2        |
|    explained_variance   | 0.495       |
|    learning_rate        | 0.0003      |
|    loss                 | 3.42        |
|    n_updates            | 1540        |
|    policy_gradient_loss | -0.00357    |
|    std                  | 0.988       |
|    value_loss           | 7.05        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 114         |
|    ep_rew_mean          | 27.7        |
|    success_rate         | 0.47        |
| time/                   |             |
|    fps                  | 245         |
|    iterations           | 34          |
|    time_elapsed         | 566         |
|    total_timesteps      | 639264      |
| train/                  |             |
|    approx_kl            | 0.017971879 |
|    clip_fraction        | 0.163       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.2        |
|    explained_variance   | 0.627       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.25        |
|    n_updates            | 1550        |
|    policy_gradient_loss | -0.00354    |
|    std                  | 0.993       |
|    value_loss           | 7.99        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 116         |
|    ep_rew_mean          | 28.5        |
|    success_rate         | 0.5         |
| time/                   |             |
|    fps                  | 245         |
|    iterations           | 35          |
|    time_elapsed         | 582         |
|    total_timesteps      | 643360      |
| train/                  |             |
|    approx_kl            | 0.021124616 |
|    clip_fraction        | 0.201       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.22       |
|    explained_variance   | 0.513       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.73        |
|    n_updates            | 1560        |
|    policy_gradient_loss | 0.00132     |
|    std                  | 1           |
|    value_loss           | 6.93        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 117         |
|    ep_rew_mean          | 28.7        |
|    success_rate         | 0.51        |
| time/                   |             |
|    fps                  | 245         |
|    iterations           | 36          |
|    time_elapsed         | 599         |
|    total_timesteps      | 647456      |
| train/                  |             |
|    approx_kl            | 0.016773073 |
|    clip_fraction        | 0.154       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.24       |
|    explained_variance   | 0.656       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.973       |
|    n_updates            | 1570        |
|    policy_gradient_loss | -0.00552    |
|    std                  | 1.01        |
|    value_loss           | 5.28        |
-----------------------------------------
[2026-05-14 03:07:04] N3Z2C_TRAIN_HEARTBEAT config=z2_corrected_full local_steps=147460/1000000 total_steps=647460/1500000 percent= 14.75% rate=   245.0 step/s eta=  57.99 min recent_reward=27.160
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 118         |
|    ep_rew_mean          | 27.8        |
|    success_rate         | 0.45        |
| time/                   |             |
|    fps                  | 245         |
|    iterations           | 37          |
|    time_elapsed         | 616         |
|    total_timesteps      | 651552      |
| train/                  |             |
|    approx_kl            | 0.016953707 |
|    clip_fraction        | 0.173       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.26       |
|    explained_variance   | 0.616       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.78        |
|    n_updates            | 1580        |
|    policy_gradient_loss | -0.00497    |
|    std                  | 1.01        |
|    value_loss           | 7.73        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 117         |
|    ep_rew_mean          | 26.6        |
|    success_rate         | 0.41        |
| time/                   |             |
|    fps                  | 245         |
|    iterations           | 38          |
|    time_elapsed         | 632         |
|    total_timesteps      | 655648      |
| train/                  |             |
|    approx_kl            | 0.018115647 |
|    clip_fraction        | 0.148       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.27       |
|    explained_variance   | 0.687       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.54        |
|    n_updates            | 1590        |
|    policy_gradient_loss | -0.00593    |
|    std                  | 1.01        |
|    value_loss           | 5.75        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 120          |
|    ep_rew_mean          | 29.4         |
|    success_rate         | 0.53         |
| time/                   |              |
|    fps                  | 245          |
|    iterations           | 39           |
|    time_elapsed         | 649          |
|    total_timesteps      | 659744       |
| train/                  |              |
|    approx_kl            | 0.0150595885 |
|    clip_fraction        | 0.198        |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.27        |
|    explained_variance   | 0.596        |
|    learning_rate        | 0.0003       |
