scenario,episode_id,obstacle_id,first_step,last_step,num_records,unique_slots_seen,slot_change_count_for_same_id,slot_reuse_after_this_id_count,duplicate_same_step,reappears_after_gap,max_gap_steps,status,rule
train_flow_mixed,1,7,1,1,1,0,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,1,8,1,1,1,2,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,1,9,1,80,80,4,0,0,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,1,10,1,1,1,5,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,1,11,2,2,1,0,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,1,12,2,80,79,2,0,0,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,1,14,2,2,1,5,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,1,15,3,80,78,0,0,0,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,1,16,3,3,1,5,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,1,17,4,80,77,5,0,0,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,1,18,66,66,1,3,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,1,19,67,80,14,3,0,0,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,2,0,0,66,67,0,0,1,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,2,1,0,58,59,1,0,1,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,2,2,0,0,1,2,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,2,3,0,80,81,3,0,0,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,2,4,0,77,78,4,0,1,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,2,5,0,0,1,5,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,2,6,1,1,1,2,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,2,7,1,1,1,5,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,2,8,2,2,1,2,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,2,9,2,2,1,5,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,2,10,3,3,1,2,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,2,11,3,80,78,5,0,0,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,2,12,4,4,1,2,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,2,13,5,5,1,2,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,2,14,6,66,61,2,0,1,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,2,15,59,80,22,1,0,0,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,2,16,67,80,14,0,0,0,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,2,17,67,67,1,2,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,2,18,68,80,13,2,0,0,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,2,19,78,78,1,4,0,1,0,0,0,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
train_flow_mixed,2,20,79,80,2,4,0,0,0,0,1,pass,identity is episode_id+obstacle_id; slot reuse after replacement is allowed but never joined
